Samplenro,Notebook,Day,Month,DOY,SDOY,Meadow,Site,MeadowSite,Totalflowers,Species,SumOfInsects2,SumOfEffort,InsectDensity,MinOfAchilleamillefolium,MinOfAcinosalpinus,MinOfAconitumnapellus,MinOfAconitumanthora,MinOfAegopodiumpodagraria,MinOfAgrimoniaeupatoria,MinOfAjugareptans,MinOfAjugapyramidalis,MinOfAlchemillasp,MinOfAlliumcarinatum,MinOfAnacamptispyramidalis,MinOfAnemonenarcissiflora,MinOfAnthericumramosum,MinOfAnthyllisvulneraria,MinOfApiaceaesp,MinOfArabis/Arabidopsis,MinOfArenaria/Linumym,MinOfArnicamontana,MinOfAsperulacynanchica,MinOfAsteramellus,MinOfAsterbellidiastrum,MinOfAtrobabelladonna,MinOfBellisperennis,MinOfBistortavivipara,MinOfBuphthalmumsalicifolium,MinOfCarumcarvi,MinOfClinopodiumvulgare,MinOfCampanulaglomerata,MinOfCampanulasp,MinOfCapsellabursa-pastoris,MinOfCarduusdefloratus,MinOfCarduusnutans,MinOfCarlinaacaulis,MinOfCarlinavulgaris,MinOfCentaureasp,MinOfCentauriumsp,MinOfCephalantheralongifolia,MinOfCerastiumsp,MinOfChenopodiumsp,MinOfCichoriumintybus,MinOfCirsiumarvense,MinOfCirsiumacaule,MinOfCoeglossumviride,MinOfConyzasp,MinOfConvolvulusarvensis,MinOfCrepissp,MinOfCrepissp2,MinOfCrepis/Hieracium,MinOfCrepis/Hieracium/Leontodon,MinOfCuscutaeuropaeae,MinOfDaucuscarota,MinOfDianthussp,MinOfEchiumvulgare,MinOfEpilobiumsp,MinOfEuphrasiasp,MinOfEuphorbiacyparissias,MinOfFragariasp,MinOfGaliumverum,MinOfGaliumsp,MinOfGentianasp,MinOfGentianaverna,MinOfGeraniumsylvaticum,MinOfGeraniumpusillum,MinOfGeraniumsanguineum?,MinOfGeraniumsp,MinOfGlobularianudicaulis,MinOfGlobulariacardiflora,MinOfGymnadeniaconopsea,MinOfHelianthemumnummularium,MinOfHieraciumpilosella,MinOfHippocrepiscomosa,MinOfHypericumsp,MinOfKnautia/Scabiosa,MinOfLamiumalbum,MinOfLathyruspratensis,MinOfLathyrussp,MinOfLeucanthemumvulgare,MinOfLigustrumvulgare,MinOfLotuscorniculatus,MinOfLotusmaritimus,MinOfMaianthemumbifolium,MinOfMalvaneglecta,MinOfMedicagolupulina,MinOfMedicagominima,MinOfMedicagosativa,MinOfMelampyrumsylvaticum,MinOfMycelismuralis,MinOfMyosotessp,MinOfNeottiaovata,MinOfOdontitesluteus,MinOfOnobrychisvicifolia,MinOfOnonisspinosa,MinOfOphrusapifera,MinOfOphrusinsectifera,MinOfOrchismascula,MinOfOrchisustulata,MinOfOriganumvulgare,MinOfParnassiapalustris,MinOfPastinacasativa,MinOfPeucedanumsp,MinOfPhyteumaorbiculare,MinOfPimpinellasp,MinOfPlantagolanceolata,MinOfPlantagomajor,MinOfPlantagomedia,MinOfPlantherabifolia,MinOfPlatantherachlorantha,MinOfPolygalaalpestris,MinOfPolygalacomosa,MinOfPolygalavulgaris,MinOfPolygonumaviculare,MinOfPotentillaerecta,MinOfPotentillasp,MinOfPrimulaveris,MinOfPrunellasp,MinOfPulsatillasp,MinOfRanunculussp,MinOfRhinanthusminor,MinOfResedalutea,MinOfRosasp,MinOfRubussp,MinOfRumexsp,MinOfSalviapratensis,MinOfSambucussp,MinOfSanguisorbaminor,MinOfSaponariaocymoides?,MinOfSedumspyellow,MinOfSedumalbum,MinOfSeneciosp,MinOfSilenedioica,MinOfSilenenutans,MinOfSilenevulgaris,MinOfSisymbriumofficinale,MinOfSolanumdulgamara,MinOfSolidagovirgaurea,MinOfSpiranthesspiralis,MinOfStachysofficinalis,MinOfStachysrecta,MinOfTaraxacumsp,MinOfTeucriumchamaedris,MinOfTeuriummontanum,MinOfThesiumsp,MinOfThymussp,MinOfTragopodonpratensis,MinOfTrifoliumcampestre,MinOfTrifoliumbadium,MinOfTrifoliummontana,MinOfTrifoliumpratense,MinOfTrifoliumrepens,MinOfTrolleiseuropaeus,MinOfUrticadioica,MinOfVacciniumvitis-idaea,MinOfValeriana,MinOfVerbenaofficinalis,MinOfVeronicachamaedris,MinOfVeronicaofficinalis,MinOfVeronicaspicata,MinOfVeronicateucrium,MinOfVeronicasp,MinOfViciacracca,MinOfViciasepium,MinOfVincetoxicumhirundinaria,MinOfViolasp,MinOfSpecies,MinOfSumOfCowfeces,MinOfSumOfBareground,MinOfSumOfRock,MinOfSumOfBryophytes,MinOfSumOfLitter,MinOfelevation,Selevation,ElevationKM,MinOfColeoptera,MinOfColeopteraBuprestidae,MinOfColeopteraCantharidae,MinOfColeopteraCerambycidae,MinOfColeopteraCetonidae,MinOfColeopteraChrysomelidae,MinOfColeopteraCleridae,MinOfColeopteraMalachiidae,MinOfColeopteraMeloidae,MinOfColeopteraMelyridae,MinOfColeopteraMordellidae,MinOfColeopteraOedemeridae,MinOfColeopteraScarabidae,MinOfColeopteraTenebrionidae,MinOfDiptera,MinOfDipteraAsilidae,MinOfDipteraBibinionidae,MinOfDipteraCalliphoridae,MinOfDipteraConopsidae,MinOfDipteraBombylidae,MinOfDipteraEmpididae,MinOfDipteraMuscidae,MinOfDipteraSarcophagidae,MinOfDipteraSyrphidae,MinOfDipteraTachinidae,MinOfDipteraTephritidae,MinOfHymenoptera,MinOfHymenopteraApidae,MinOfHymenopteraBraconidae,MinOfHymenopteraChrysidae,MinOfHymenopteraFormicidae,MinOfHymenopteraIchneumonidae,MinOfHymenopteraLeucospidae,MinOfHymenopteraPompelinidae,MinOfHymenopteraSpecidae,MinOfHymenopteraSphecidae,MinOfHymenopteraTenthredinidae,MinOfHymenopteraVespidae,MinOfRaphidioptera,InsectsPerFlower,MinOfTemperature,MinOfSumOfEffort,ColeopteraDensity,ColeopteraBuprestidaeDensity,ColeopteraCantharidaeDensity,ColeopteraCerambycidaeDensity,ColeopteraCetonidaeDensity,ColeopteraChrysomelidaeDensity,ColeopteraCleridaeDensity,ColeopteraMalachiidaeDensity,ColeopteraMeloidaeDensity,ColeopteraMelyridaeDensity,ColeopteraMordellidaeDensity,ColeopteraOedemeridaeDensity,ColeopteraScarabidaeDensity,ColeopteraTenebrionidaeDensity,DipteraDensity,DipteraAsilidaeDensity,DipteraBibinionidaeDensity,DipteraCalliphoridaeDensity,DipteraConopsidaeDensity,DipteraBombylidaeDensity,DipteraEmpididaeDensity,DipteraMuscidaeDensity,DipteraSarcophagidaeDensity,DipteraSyrphidaeDensity,DipteraTachinidaeDensity,DipteraTephritidaeDensity,HymenopteraDensity,HymenopteraApidaeDensity,HymenopteraBraconidaeDensity,HymenopteraChrysidaeDensity,HymenopteraFormicidaeDensity,HymenopteraIchneumonidaeDensity,HymenopteraLeucospidaeDensity,HymenopteraPompelinidaeDensity,HymenopteraSpecidaeDensity,HymenopteraSphecidaeDensity,HymenopteraTenthredinidaeDensity,HymenopteraVespidaeDensity,RaphidiopteraDensity
67,1,15,7,196,0.947404765,i,5,i5,7870,56,50,66.68,0.74985003,150,,,,,20,,,,,,,100,5,,5,50,,2000,,,,3,,,20,,10,50,,,2,,,1,,,20,,300,,,,,,15,,5,50,,20,5,10,,20,,,50,5,,,,,,5,10,,,200,10,,2,10,,,,,,500,,,,20,,100,,,,,,6,30,,,,2,,,,30,,300,50,,20,,,,,,,,20,,100,,500,,,,,,400,,,,3,5,,,,10,,,,,100,,1,300,400,,500,,,,1000,100,,,,,,20,,,200,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,2,,7,,,,,,3,,1,,,,,,,,20,,5,,,,10,1,,,1,,,,,,,,9.53E-05,14,66.68,0,0,0,0.029994001,0,0.104979004,0,0,0,0,0,0.044991002,0,0.014997001,0,0,0,0,0,0,0,0.299940012,0,0.074985003,0,0,0,0.149970006,0.014997001,0,0,0.014997001,0,0,0,0,0,0,0
68,1,16,7,197,0.952238462,i,1,i1,6211,49,53,100.02,0.529894021,500,,,,,300,,,,,,,50,,,,,,800,,,10,,,200,,50,20,10,,,5,,,5,,,50,,,80,,,,50,,,,20,,30,,,,,,,300,1,,,,,,50,3,,,500,,5,,1,,,,20,,100,,,,30,,300,,,,,,,150,,,,,15,,,50,,400,30,,,,,,10,,,,20,,200,,500,,,,1,,50,,,,,,,,,30,,,,,30,,,200,50,,800,,,,100,30,,,20,,,,,,10,,,20,,5,,44,0.7,25.8,0,0,22.3,766.3,0.699070703,0.7663,,1,,8,,11,,,,,,,,1,,,,,,,,13,,2,,,,12,,,,5,,,,,,,,8.53E-05,17,100.02,0,0.009998,0,0.079984003,0,0.109978004,0,0,0,0,0,0,0,0.009998,0,0,0,0,0,0,0,0.129974005,0,0.019996001,0,0,0,0.119976005,0,0,0,0.049990002,0,0,0,0,0,0,0
69,1,16,7,197,0.952238462,i,2,i2,8032,43,92,100.02,0.919816037,,,,,,100,,,,,,,50,50,,,20,,2000,,,,,,500,,,50,10,,,,,,10,,,,,2,,,,,,,,,10,,20,50,5,,20,,,300,,,,,,,,50,,,800,1,20,,1,,,,50,,100,,,,,,200,,,,,,,150,,,,3,,,,200,,300,50,,50,,,,,,,50,5,,200,,500,,,,,,200,,,,,30,,,,,,,,,5,,,200,100,,1000,,,,500,50,,,,,,,,,20,,,,,,,56,1.2,20.2,0,0,25.8,737.4,0.672706168,0.7374,,,,,,57,,,,,,2,,1,,,,,,,,7,,6,,,,16,,1,,2,,,,,,,,0.000114519,19,100.02,0,0,0,0,0,0.569886023,0,0,0,0,0,0.019996001,0,0.009998,0,0,0,0,0,0,0,0.069986003,0,0.059988002,0,0,0,0.159968006,0,0.009998,0,0.019996001,0,0,0,0,0,0,0
70,1,16,7,197,0.952238462,i,6,i6,9677,47,58,116.69,0.497043448,400,,,,,20,,,,,,,100,,,,,,2000,,,,,,500,,50,200,50,,,,,,1,,,5,,,5,1,,,,,,,2,,200,10,100,,10,1,,100,,,,,,,,50,,,,1,,,15,,,,200,,300,,,,,,500,,,,,,,100,,,,,15,,20,300,,100,50,,50,,,,,2,,20,,,400,,300,,,,10,,100,,,,,,,,,5,,,,,,,,300,500,3,2000,,,,500,1,,,,,,,,,30,,,50,,,,58,1.5,33.8,0.7,0,21,702.2,0.640594347,0.7022,,,,,,18,,,,,,2,,,,,,,,,,6,,4,,,,21,,,,5,,,,,,2,,5.14E-05,22,116.69,0,0,0,0,0,0.154254863,0,0,0,0,0,0.017139429,0,0,0,0,0,0,0,0,0,0.051418288,0,0.034278859,0,0,0,0.179964007,0,0,0,0.042848573,0,0,0,0,0,0.017139429,0
71,1,16,7,197,0.952238462,i,7,i7,6748,41,58,100.02,0.579884023,,50,,,,50,,,,,,,50,,,2,,,800,3,,,,,400,,1,50,30,,,,,,10,,,,,,,,,,,,,,,,15,100,50,,,,,10,,,,,,,,20,,,300,,,,20,,5,,30,,200,,,,10,10,100,,,,,,,80,,,,,,,,200,,20,20,,10,,,,,,,,,,150,,200,,,,,,100,,,,,,,,,,,,,,,20,,500,300,10,2500,,,,100,20,,,,,,,,,200,,,2,,,,57,0.15,41.5,0.6,0.1,17.2,648.5,0.591605574,0.6485,,,,1,,16,,,,,,4,,2,,,,,1,,,4,,2,,,,24,1,,,2,,,,,1,,,8.59E-05,22,100.02,0,0,0,0.009998,0,0.159968006,0,0,0,0,0,0.039992002,0,0.019996001,0,0,0,0,0.009998,0,0,0.039992002,0,0.019996001,0,0,0,0.23995201,0.009998,0,0,0.019996001,0,0,0,0,0.009998,0,0
72,1,16,7,197,0.952238462,a,1,a1,7063,47,50,83.35,0.599880024,400,150,,,,50,,,,,,,,,,50,,,400,,,,,,30,50,15,50,10,,,,,,20,,,,,,,1,,,,,,1,10,,100,,20,,,,,100,,,,,30,,,,,,100,4,,10,1,,30,,3,,200,1,,,100,20,500,,,,,,,50,,,,1,,,15,,,200,400,,100,,,,,,,,50,,100,,500,,,1,,,800,,,,,,,,,5,,,,,,,,30,,,200,,,,2000,100,50,,,,,,,,5,,,,,,,61,0.4,6,0,0,29.5,1020.6,0.931060368,1.0206,,,,2,,10,,,,,,4,,1,,,,,,,,9,,7,,,,11,,,,5,,,,,,1,,8.49E-05,18,83.35,0,0,0,0.023995201,0,0.119976005,0,0,0,0,0,0.047990402,0,0.0119976,0,0,0,0,0,0,0,0.107978404,0,0.083983203,0,0,0,0.131973605,0,0,0,0.059988002,0,0,0,0,0,0.0119976,0
73,1,17,7,198,0.95707216,a,6,a6,14279,38,67,100.02,0.669866027,500,,,,,10,,,,,,,,,,,30,,2500,,,,,,,,,200,5,,,,,,3,,,,,,,,,,,,,,50,,10,,100,,50,,,150,,,,,,,,20,,,2000,20,,15,25,,,,,,500,,,,200,,50,,,,,,,100,,,,,,,,100,,500,500,,100,,,,1,,,50,,,200,,400,,,,,,150,,,,,,,,,10,,,,,200,,,400,100,,3000,,,,2000,20,,,,,,,,,10,,,,,,,59,2.5,10.8,0,0,18.7,981.9,0.895755609,0.9819,,,,,,30,,,,,,2,,1,2,,,,,,,8,,7,5,1,,4,,,,5,,,,,1,1,,4.69E-05,18,100.02,0,0,0,0,0,0.299940012,0,0,0,0,0,0.019996001,0,0.009998,0.019996001,0,0,0,0,0,0,0.079984003,0,0.069986003,0.049990002,0.009998,0,0.039992002,0,0,0,0.049990002,0,0,0,0,0.009998,0.009998,0
74,1,17,7,198,0.95707216,a,5,a5,13600,52,58,100.02,0.579884023,300,20,,,,20,,,,,,,,,,,500,,500,,,,,,,100,50,150,100,,,,,,2,10,,,,,,3,,,,,,1,100,,40,,50,,50,,,300,,,1,,,,1,,,,400,,,50,30,,,,30,,400,,,,50,,30,,,,,,,50,,,,1,,,,,,300,2000,,200,,,,,20,,500,30,,100,,500,,,,10,,40,,,,15,5,,,,5,,,,,3,,,150,50,,3000,,,,3000,200,100,,10,,,,3,,20,,,,,,,61,3.6,6.6,1.1,1.2,20.4,1001,0.913179922,1.001,,,,3,,6,,1,,,,,,16,1,,,,1,,1,8,,7,1,1,,11,,,,1,,,,,,,,4.26E-05,19,100.02,0,0,0,0.029994001,0,0.059988002,0,0.009998,0,0,0,0,0,0.159968006,0.009998,0,0,0,0.009998,0,0.009998,0.079984003,0,0.069986003,0.009998,0.009998,0,0.109978004,0,0,0,0.009998,0,0,0,0,0,0,0
75,1,17,7,198,0.95707216,a,4,a4,6146,43,52,133.36,0.389922016,150,,,,,20,,,,,,,,,,3,100,,200,,,,,,,10,5,200,,,,,,,1,2,,,,,,,,,,,,1,50,,20,,,,30,,,50,5,,1,,,,,,,,500,,,5,30,,,,,,100,,,,50,,200,,,,,,,30,,,,2,,,,2,,200,300,,100,,,,,,,30,,,200,,50,,,,,,1000,,,,40,20,,,,30,,,,,1,,,30,,,800,,,,1500,50,20,,,,,,,,8,,,,,,,55,3.15,11.2,0.15,0,33.2,1002.8,0.914822003,1.0028,,,,1,,12,,,,,,,,2,1,,,,,,,6,,4,5,,,17,,,,4,,,,,,,,6.34E-05,18,133.36,0,0,0,0.0074985,0,0.089982004,0,0,0,0,0,0,0,0.014997001,0.0074985,0,0,0,0,0,0,0.044991002,0,0.029994001,0.037492501,0,0,0.127474505,0,0,0,0.029994001,0,0,0,0,0,0,0
76,1,17,7,198,0.95707216,a,2,a2,4561,29,50,133.36,0.374925015,10,,,,,,,,,,,,,,,20,,,1500,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,1,,5,,,,30,,,15,,,,,,,,,,,400,,,,3,,,,,,1,2,,,,,10,,,,,,,30,,,,1,,,,20,,50,100,,,,,,100,,,100,,,200,,300,,,,,,20,,,,,,,,,5,,,,,,,,5,,,1500,,,,100,10,,,,,,,,,,,,,,,,50,0.55,3.8,0,0,37.3,984.9,0.898492412,0.9849,,,,,,15,,,,,,1,,,1,,,,,,,17,,6,,,,4,,,,6,,,,,,,,8.22E-05,18,133.36,0,0,0,0,0,0.112477504,0,0,0,0,0,0.0074985,0,0,0.0074985,0,0,0,0,0,0,0.127474505,0,0.044991002,0,0,0,0.029994001,0,0,0,0.044991002,0,0,0,0,0,0,0
77,1,17,7,198,0.95707216,n,5,n5,5137,35,50,133.36,0.374925015,50,50,,,,,,,100,,,,,,,30,30,,200,,,,4,,,100,2,,15,,,,,,1,,,10,,,,1,,,,,,,50,,,,150,,50,,,20,,,,,,,,,,,200,1,,5,,,,,,,200,,,,100,,,,,,,,,,,,,,,,,,,,500,,100,,,,,,,150,,,100,,500,,,,,,10,,,,,30,,,,,,,,,,,3,,50,,1500,,,,800,15,10,,,,,,,,,,,,,,,57,2.7,20.7,0.1,0,31.8,1398.6,1.275897541,1.3986,,,,,,6,,,,,,,,,2,,2,,,,,11,,5,1,3,,1,2,,,3,,,,,12,2,,7.30E-05,18,133.36,0,0,0,0,0,0.044991002,0,0,0,0,0,0,0,0,0.014997001,0,0.014997001,0,0,0,0,0.082483503,0,0.037492501,0.0074985,0.022495501,0,0.0074985,0.014997001,0,0,0.022495501,0,0,0,0,0.089982004,0.014997001,0
78,1,18,7,199,0.961905858,a,3,a3,11771,49,65,83.35,0.779844031,400,,,,,80,,,,,,,,,,20,300,,400,,,,,,20,5,50,150,30,,,,,,5,,,,,,,1,,,,,,,20,,20,,30,,50,,,200,50,,,,,,,,,,400,,,30,15,,20,,5,,300,,,,20,,400,,,,,,,100,,,,1,,,,100,,500,500,,200,,,,,,,200,,,200,,500,,,1,30,,50,,,,3,5,,,,50,,5,,,15,,,200,,,3000,,,,3000,50,,,,,,,,,30,,,10,,,,65,0.45,5.2,0.3,0,36.7,949.8,0.866471818,0.9498,,,,,,6,,1,,,,1,,23,1,,,,,,,15,,4,,2,,8,,,,3,,,,1,,,,6.63E-05,17,83.35,0,0,0,0,0,0.071985603,0,0.0119976,0,0,0,0.0119976,0,0.275944811,0.0119976,0,0,0,0,0,0,0.179964007,0,0.047990402,0,0.023995201,0,0.095980804,0,0,0,0.035992801,0,0,0,0.0119976,0,0,0
79,1,18,7,199,0.961905858,n,4,n4,3733,45,50,133.36,0.374925015,10,50,,,,,,,100,,,,,1,,50,500,,200,,,20,3,,,100,30,,1,,,,,,1,,,,,,,3,,,,,,,100,,,,50,4,5,,,,,,,,,,5,,,,150,15,3,2,20,,10,,3,,300,,,,200,,,,40,,,,,,,,,2,,,,,,,300,,100,,,,,,,250,,,200,,300,,,,40,,3,,,,,,,,,20,,3,,,,,,,,,300,,,,200,30,1,,5,,,,,3,,,,,,,,61,2.55,14,0,0.15,35.6,1420,1.295420069,1.42,1,,,,,4,,,,,,,,,,,1,,,,,26,,3,,5,,2,1,,,7,,,,,,,,0.000100435,17,133.36,0.0074985,0,0,0,0,0.029994001,0,0,0,0,0,0,0,0,0,0,0.0074985,0,0,0,0,0.194961008,0,0.022495501,0,0.037492501,0,0.014997001,0.0074985,0,0,0.052489502,0,0,0,0,0,0,0
80,1,18,7,199,0.961905858,n,3,n3,3378,33,50,100.02,0.49990002,20,100,,,,,,,80,,,,,,,,1000,,,,,,1,,,200,1,,,,,,,,,,,10,,,,,,,,,,,20,,,,30,,10,,,30,3,,,,,,,,,,,30,,20,1,,,,,,150,,,,200,,,,,,,,,,,,,,,,,,,,300,,20,,,,,,,30,,,150,,200,,,,,,5,,,,,100,,,30,5,,,,,,,2,30,,,300,,,,200,50,50,,,,,,,,,,,,,,,58,1.6,18.6,3,0.4,33.9,1407.7,1.284199176,1.4077,,,,,,1,,,,,,,,,2,,1,1,,,,32,,2,4,,,1,2,,,3,,,,,1,,,0.000147987,19,100.02,0,0,0,0,0,0.009998,0,0,0,0,0,0,0,0,0.019996001,0,0.009998,0.009998,0,0,0,0.319936013,0,0.019996001,0.039992002,0,0,0.009998,0.019996001,0,0,0.029994001,0,0,0,0,0.009998,0,0
81,1,18,7,199,0.961905858,n,2,n2,2678,35,50,116.69,0.428485731,50,100,,,,,,,50,,,,,,,15,200,,,,,,,,,150,80,1,,,,,,,1,,,50,,,1,,,,,,,1,10,,,,20,,1,,,10,,,,,,,,,,,50,,,,5,,1,,,,200,,,,150,,,,,,,,,,,,,,,,,5,,,500,,50,,,,,,,,,,100,,300,,13,,,,3,,,,,30,,,,1,,,,,,,,,,,400,,,,50,30,20,,30,,,,,,,,,,,,,55,2.1,4.6,0,0,33.8,1405.5,1.282192188,1.4055,1,,,3,,,,,,,,,,,1,,2,1,,,,28,,2,4,,,1,2,,,5,,,,,,,,0.000160002,21,116.69,0.008569715,0,0,0.025709144,0,0,0,0,0,0,0,0,0,0,0.008569715,0,0.017139429,0.008569715,0,0,0,0.23995201,0,0.017139429,0.034278859,0,0,0.008569715,0.017139429,0,0,0.042848573,0,0,0,0,0,0,0
82,1,19,7,200,0.966739556,n,1,n1,2284,37,50,116.69,0.428485731,10,30,,,,,,,50,,,,,,3,10,,,,,,,,3,,150,5,,15,,,,,,1,,,,,,1,7,,,,,2,,30,,,,8,,10,,,5,,,,,,,,,,,5,10,,,4,,3,,2,,200,,,,100,,,,,,,,,,,,,,,,,,,,400,,50,,,5,,,,200,,,150,,300,,,,50,,,,,,,,,,,5,,,,,,,,,10,,300,,,,30,100,20,,,,,,,,,,,,,,,60,1.9,6.1,0,0,34,1390.3,1.268325719,1.3903,1,,,,,3,,,,,,1,1,,1,,4,,,,,20,,4,3,,,3,,,,6,,,,,3,,,0.000187603,17,116.69,0.008569715,0,0,0,0,0.025709144,0,0,0,0,0,0.008569715,0.008569715,0,0.008569715,0,0.034278859,0,0,0,0,0.171394293,0,0.034278859,0.025709144,0,0,0.025709144,0,0,0,0.051418288,0,0,0,0,0.025709144,0,0
83,1,19,7,200,0.966739556,o,3,o3,3366,33,50,116.69,0.428485731,1,150,,,,,,,200,,,,,,,,,,,,,,,5,,2,25,,200,,15,,,,,,,,,,,3,,,,,,,15,,,,,,50,,2,,20,,,3,,,,,,,400,20,,7,5,,50,,2,,300,,,,100,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,800,,,200,,50,,,,,,,,,,,,,,,1,,,,,,,,,,10,500,,,,10,100,20,,,,,,,50,,,,,,,,49,0.1,3.1,0.1,0,28.4,1612.7,1.471214046,1.6127,2,,,1,,2,,,,,,,,,14,2,7,,,2,,4,,2,,,,2,2,,,9,,,,,1,,,0.000127298,22,116.69,0.017139429,0,0,0.008569715,0,0.017139429,0,0,0,0,0,0,0,0,0.119976005,0.017139429,0.059988002,0,0,0.017139429,0,0.034278859,0,0.017139429,0,0,0,0.017139429,0.017139429,0,0,0.077127432,0,0,0,0,0.008569715,0,0
84,1,19,7,200,0.966739556,o,4,o4,2225,36,50,150.03,0.33326668,50,20,,,3,,,,100,,,,,,,,,,50,,,,20,1,,30,10,,150,,5,,,,,,,5,,,,1,,,,,,,100,,,,,,100,,,,,,,5,,,,,,,30,5,,5,,,5,,1,,100,,,,50,,,10,,,,,,,,,,,,,,,,,100,,3,,,,,,,400,,,200,,200,,,,,,,,,,,,,,,,,,,,,,,,,5,300,,,,50,50,10,1,,,,,,50,,,,,,,,60,0,7.8,0,0,35.2,1576.2,1.437916276,1.5762,,2,,2,,7,,,,,,,,,6,1,2,,,,,11,,1,1,1,,7,1,,,6,,,,,2,,,0.000149783,24,150.03,0,0.013330667,0,0.013330667,0,0.046657335,0,0,0,0,0,0,0,0,0.039992002,0.006665334,0.013330667,0,0,0,0,0.07331867,0,0.006665334,0.006665334,0.006665334,0,0.046657335,0.006665334,0,0,0.039992002,0,0,0,0,0.013330667,0,0
85,1,19,7,200,0.966739556,u,1,u1,8853,39,50,83.35,0.599880024,100,300,,,,,,,100,,,,,,,,50,,,,,,200,5,,150,,,200,,10,,,,1,,,5,,,,,,,,,,,150,,,,,,10,,,,,,,50,,,,,,,150,30,,200,5,,100,,10,,3000,,,,500,,,,,,,,,,,,,,,,,,1,50,200,50,50,,,,,,,1000,,,300,,300,1,,,,100,,,,,,,,,,50,,,,,,,,,,,1000,,,,50,200,150,,,,,,,5,,,,,20,,,67,4,22,0.25,0,26.5,1745.8,1.59263687,1.7458,,,,3,,4,,,,,,,,,4,,1,,,,,28,,1,1,2,,1,,,,2,,,,,3,,,6.78E-05,22,83.35,0,0,0,0.035992801,0,0.047990402,0,0,0,0,0,0,0,0,0.047990402,0,0.0119976,0,0,0,0,0.335932813,0,0.0119976,0.0119976,0.023995201,0,0.0119976,0,0,0,0.023995201,0,0,0,0,0.035992801,0,0
86,1,19,7,200,0.966739556,u,2,u2,8576,33,50,133.36,0.374925015,3,500,,,,,,,5000,,,,,,,,,,,,,,10,5,,20,,,300,,3,,,,,,,,,,,1,,,,,,,1,,,,,,20,,3,,5,,,5,,,,,,,100,1,,80,10,,5,,10,,200,,,,200,,,,,3,,,,,,,,,,,,,,,100,,50,,,,,,,1000,,,150,,200,,,,,,,,,,,,,,,1,,,,,,,,,,,500,,,,30,50,10,,,,,,,,,,,,,,,67,0,17.9,1.1,0.05,18.6,1749.2,1.59573858,1.7492,,,,4,,9,,,,,,,,1,3,,,,,1,,18,,,,2,,1,1,,,9,,,,,1,,,4.37E-05,21,133.36,0,0,0,0.029994001,0,0.067486503,0,0,0,0,0,0,0,0.0074985,0.022495501,0,0,0,0,0.0074985,0,0.134973005,0,0,0,0.014997001,0,0.0074985,0.0074985,0,0,0.067486503,0,0,0,0,0.0074985,0,0
87,1,22,7,203,0.981240649,i,2,i2,9902,44,75,100.02,0.74985003,50,,,,,30,,,,,,,500,50,,,200,,3000,,,,,,400,,,100,200,,,,,,15,,,,,30,,,,,,,,,50,,20,50,3,,10,,,100,5,,,,,,,200,,,400,5,,,1,,,,50,,100,,,,,,200,,,,,,,100,,,,3,,,,500,,300,100,,100,,,,,,,20,,,200,,300,,,,,,200,,,,10,50,,,,,,,,,20,,,500,300,,1200,,,,100,100,,,,,,,,,30,,,,,,,56,1.2,20.2,0,0,25.8,737.4,0.672706168,0.7374,,,,1,,36,,,,,,4,,1,3,,,,,,,1,,5,,,,14,,,,8,,,,1,1,,,7.57E-05,22,100.02,0,0,0,0.009998,0,0.359928014,0,0,0,0,0,0.039992002,0,0.009998,0.029994001,0,0,0,0,0,0,0.009998,0,0.049990002,0,0,0,0.139972006,0,0,0,0.079984003,0,0,0,0.009998,0.009998,0,0
88,1,22,7,203,0.981240649,i,1,i1,5430,41,50,100.02,0.49990002,500,,,,,300,,,,,,,300,,,,,,800,,,,,,300,,100,30,50,,,5,,,50,,,,,,50,,,,40,,,,,,200,,,,,1,,100,,,,,,2,,,,,150,,15,,1,,5,,5,,50,,,,,,300,,,,,,,100,,,,,15,,,30,,500,200,,20,,,,,,,,,,200,,100,,,,,,50,,,,,,,,,10,,,,,,,,200,,,500,,,,,100,,,20,,,,,,3,3,,20,,5,,44,0.7,25.8,0,0,22.3,766.3,0.699070703,0.7663,,,1,3,,9,,,,,,2,,3,,1,,,,,,,,3,3,3,,13,,,,9,,,,,,,,9.21E-05,25,100.02,0,0,0.009998,0.029994001,0,0.089982004,0,0,0,0,0,0.019996001,0,0.029994001,0,0.009998,0,0,0,0,0,0,0,0.029994001,0.029994001,0.029994001,0,0.129974005,0,0,0,0.089982004,0,0,0,0,0,0,0
